date,volume,open,close,high,low
01-08-2017,8284997,323,319.57,324.45,316.13
31-07-2017,8525454,335.5,323.47,341.49,321.04
28-07-2017,4869891,336.89,335.07,339.6,332.51
27-07-2017,8285879,346,334.46,347.5,326.29
26-07-2017,4809514,340.36,343.85,345.5,338.12
25-07-2017,6977932,345,339.6,345.6,334.15
24-07-2017,8598292,330.24,342.52,343.399,330.01
21-07-2017,4871708,329.46,328.4,331.2575,325.8
20-07-2017,5142516,326.9,329.92,330.22,324.2
19-07-2017,6345884,328.23,325.26,331.65,323.2193
18-07-2017,6360710,317.5,328.24,329.13,315.66
17-07-2017,9827506,325.54,319.57,327.1,313.45
14-07-2017,5607924,323.19,327.78,328.42,321.22
13-07-2017,8582315,330.11,323.41,331.6,319.97
12-07-2017,10317240,330.4,329.52,333.1,324.5
11-07-2017,11526760,316,327.22,327.28,314.3
10-07-2017,13760290,312.9,316.05,317.94,303.13
07-07-2017,14129950,313.5,313.22,317,307.38
06-07-2017,19258040,317.26,308.83,320.7899,306.3
05-07-2017,16998300,347.2,327.09,347.24,326.33
03-07-2017,6305401,370.24,352.62,371.35,351.5
30-06-2017,5823046,363.71,361.61,366.7674,359.6187
29-06-2017,8202463,370.61,360.75,371,354.1
28-06-2017,6290323,366.68,371.24,371.74,362.52
27-06-2017,6977494,376.4,362.37,376.4,362.02
26-06-2017,6596854,386.69,377.49,386.95,373.1
23-06-2017,6425180,382.45,383.45,386.99,379.345
22-06-2017,7510406,377.99,382.61,385,373.57
21-06-2017,4916770,374.35,376.4,376.99,368.02
20-06-2017,7419110,376.67,372.24,378.88,369.73
19-06-2017,6433434,375,369.8,376.7,367.8
16-06-2017,6347450,377.975,371.4,378.01,370.1
15-06-2017,10412650,372.5,375.34,375.46,366.49
14-06-2017,12778480,381.085,380.66,384.25,376.31
13-06-2017,11773370,367.62,375.95,376,366.61
12-06-2017,10507860,357.99,359.01,364.5,350.62
09-06-2017,17250060,374.42,357.32,376.87,354.8
08-06-2017,9028677,363.75,370,371.9,360.22
07-06-2017,9348692,356.34,359.65,360.5,355.14
06-06-2017,11031920,344.7,352.85,359.4929,339.97
05-06-2017,6769174,338.5,347.32,348.44,334.21
02-06-2017,5583952,339.77,339.85,342.88,335.93
01-06-2017,7601764,344,340.37,344.88,337.29
31-05-2017,9937556,337.69,341.01,342.89,335.16
30-05-2017,7771536,326,335.1,336.28,325.76
26-05-2017,7793009,317.28,325.14,325.49,316.31
25-05-2017,5000432,311.02,316.83,316.97,307.81
24-05-2017,5035192,306.51,310.22,311,305.4
23-05-2017,4314267,310.46,303.86,310.73,303.48
22-05-2017,4324305,312.8,310.35,314.37,306.8
19-05-2017,4654580,315.5,310.83,316.5,310.2
18-05-2017,5609153,307,313.06,313.94,305.31
17-05-2017,6695657,314.39,306.11,314.63,305.5
16-05-2017,4141066,317.59,317.01,320.06,315.14
15-05-2017,7606854,318.38,315.88,320.2,312.53
12-05-2017,4118613,325.48,324.81,327,321.53
11-05-2017,4747172,323.4,323.1,326,319.6
10-05-2017,5734524,321.56,325.22,325.5,318.12
09-05-2017,9663374,309.38,321.26,321.99,309.1
08-05-2017,7002907,310.9,307.19,313.79,305.82
05-05-2017,8117449,298,308.35,308.55,296.8
04-05-2017,14135990,307.435,295.46,307.77,290.7601
03-05-2017,6879259,317.67,311.02,321.53,310.45
02-05-2017,5316551,324,318.89,327.6599,316.5601
01-05-2017,8819888,314.88,322.83,327.25,314.81
28-04-2017,4496659,309.83,314.07,314.8,308
27-04-2017,3462663,311.69,308.63,313.09,307.5
26-04-2017,4683131,312.37,310.17,314.5,309
25-04-2017,6734162,308,313.79,313.98,305.86
24-04-2017,5077771,309.22,308.03,310.55,306.0215
21-04-2017,4501958,302,305.6,306.4,300.42
20-04-2017,6145961,306.51,302.51,309.15,300.23
19-04-2017,3891145,302.46,305.52,306.62,302.11
18-04-2017,3034225,299.7,300.25,300.8399,297.9
17-04-2017,4128067,302.7,301.44,304,298.68
13-04-2017,9275682,296.7,304,307.39,295.3
12-04-2017,6043648,306.34,296.84,308.4481,296.32
11-04-2017,5718053,313.38,308.71,313.47,305.5
10-04-2017,7653623,309.15,312.39,313.7299,308.71
07-04-2017,4566632,297.5,302.54,302.69,297.15
06-04-2017,5517731,296.88,298.7,301.94,294.1
05-04-2017,7858565,302.04,295,304.88,294.2
04-04-2017,10108230,296.89,303.7,304.81,294.53
03-04-2017,13864850,286.9,298.52,299,284.58
31-03-2017,3293698,278.73,278.3,279.68,276.3197
30-03-2017,4141437,278.04,277.92,282,277.21
29-03-2017,3672526,278.34,277.38,279.6,275.54
28-03-2017,7978665,277.02,277.45,280.68,275
27-03-2017,6221361,260.6,270.22,270.57,259.75
24-03-2017,5637668,255.7,263.16,263.89,255.01
23-03-2017,3309844,255.39,254.78,257.672,253.3
22-03-2017,4056735,251.56,255.01,255.07,250.51
21-03-2017,6901555,262.83,250.68,264.8,250.24
20-03-2017,3601616,260.6,261.92,264.55,258.821
17-03-2017,6491018,264,261.5,265.33,261.2
16-03-2017,7127180,262.4,262.05,265.75,259.06
15-03-2017,5233365,257,255.73,261,254.27
14-03-2017,7581719,246.11,258,258.12,246.02
13-03-2017,3011280,244.82,246.17,246.85,242.781
10-03-2017,3062785,246.21,243.69,246.5,243
09-03-2017,3876494,247.63,244.9,248.66,243
08-03-2017,3726746,247,246.87,250.07,245.32
07-03-2017,3452587,251.92,248.59,253.89,248.32
06-03-2017,3353601,247.91,251.21,251.7,247.51
03-03-2017,2925481,250.74,251.57,251.9,249
02-03-2017,3345751,249.71,250.48,253.28,248.27
01-03-2017,4804963,254.18,250.02,254.85,249.11
28-02-2017,6073890,244.19,249.99,251,243.9
27-02-2017,11450160,248.17,246.23,248.36,242.01
24-02-2017,8166869,252.66,257,258.25,250.2
23-02-2017,14877090,264,255.99,264.66,255.56
22-02-2017,8537811,280.31,273.51,283.45,272.6
21-02-2017,5647575,275.45,277.39,281.4,274.01
17-02-2017,6251469,265.8,272.23,272.89,264.15
16-02-2017,7063860,277.6,268.95,280,268.5
15-02-2017,4943879,280,279.76,282.24,276.44
14-02-2017,7341450,279.03,280.98,287.39,278.61
13-02-2017,7023072,270.74,280.6,280.7899,270.51
10-02-2017,3618336,269.79,269.23,270.95,266.11
09-02-2017,7812600,266.25,269.2,271.18,266.15
08-02-2017,3912428,257.35,262.08,263.36,256.2
07-02-2017,4244063,258.19,257.48,260,256.42
06-02-2017,3557600,251,257.77,257.82,250.63
03-02-2017,2185230,251.91,251.33,252.179,249.68
02-02-2017,2498799,248.34,251.55,252.42,247.71
01-02-2017,3953105,253.05,249.24,253.2,249.05
31-01-2017,4112013,249.24,251.93,255.89,247.7
30-01-2017,3798638,252.53,250.63,255.2899,247.1
27-01-2017,3161774,251.38,252.95,253,248.52
26-01-2017,3143717,254.29,252.51,255.74,250.75
25-01-2017,5145301,257.31,254.47,258.46,251.8
